0,1,2,3,4,5,6
19.12.19 09:54:59,339.50,339.50,339.50,339.50,20,0
19.12.19 09:55:59,340.25,340.25,340.25,340.25,20,0
19.12.19 09:56:59,380.40,380.40,380.40,380.40,40,0
19.12.19 10:10:59,336.35,336.35,336.35,336.35,20,40
19.12.19 10:43:59,356.00,356.00,356.00,356.00,60,60
19.12.19 10:55:59,335.00,335.00,335.00,335.00,20,100
19.12.19 11:05:59,320.15,320.15,320.15,320.15,20,120
19.12.19 11:07:59,327.80,327.80,327.80,327.80,20,140
19.12.19 11:09:59,308.00,308.00,308.00,308.00,20,160
19.12.19 11:26:59,299.90,300.00,299.90,300.00,60,180
19.12.19 11:29:59,296.55,297.85,296.55,297.85,60,220
19.12.19 11:34:59,288.95,288.95,288.95,288.95,20,260
19.12.19 11:36:59,296.35,296.35,296.35,296.35,20,280
19.12.19 11:39:59,286.00,286.00,286.00,286.00,20,300
19.12.19 11:43:59,286.45,286.45,286.45,286.45,20,0
19.12.19 11:57:59,299.70,299.70,299.70,299.70,20,340
19.12.19 12:12:59,285.00,285.00,285.00,285.00,20,360
19.12.19 12:18:59,297.00,297.00,297.00,297.00,20,380
19.12.19 12:24:59,290.70,290.70,290.70,290.70,20,360
19.12.19 12:32:59,302.05,302.05,302.05,302.05,40,400
19.12.19 12:35:59,291.05,291.05,291.05,291.05,20,400
19.12.19 12:37:59,288.00,288.00,288.00,288.00,20,400
19.12.19 12:49:59,305.00,305.00,305.00,305.00,20,420
19.12.19 12:57:59,304.40,304.40,304.40,304.40,20,420
19.12.19 13:00:59,329.95,329.95,329.95,329.95,40,420
19.12.19 13:02:59,315.55,315.55,315.55,315.55,40,420
19.12.19 13:23:59,314.65,314.65,314.65,314.65,40,460
19.12.19 13:30:59,303.35,303.35,303.35,303.35,100,500
19.12.19 13:31:59,333.75,333.75,333.75,333.75,140,500
19.12.19 13:36:59,309.30,309.30,304.15,304.15,40,460
19.12.19 13:37:59,303.00,303.00,303.00,303.00,20,460
19.12.19 13:43:59,317.45,317.45,317.45,317.45,20,420
19.12.19 13:48:59,300.00,300.00,300.00,300.00,40,440
19.12.19 13:53:59,295.00,295.00,295.00,295.00,20,420
19.12.19 13:56:59,303.55,303.55,303.55,303.55,20,0
19.12.19 14:07:59,304.00,304.00,304.00,304.00,20,440
19.12.19 14:09:59,318.95,318.95,318.95,318.95,300,460
19.12.19 14:10:59,300.55,303.00,300.55,303.00,320,460
19.12.19 14:15:59,300.00,300.00,300.00,300.00,240,1000
19.12.19 14:16:59,300.00,300.00,293.00,293.00,180,1000
19.12.19 14:17:59,300.00,300.00,300.00,300.00,20,1000
19.12.19 14:23:59,306.00,306.00,306.00,306.00,100,1320
19.12.19 14:26:59,313.55,313.55,313.55,313.55,20,1220
19.12.19 14:38:59,300.00,300.00,300.00,300.00,20,1240
19.12.19 14:43:59,300.00,300.00,300.00,300.00,20,1260
19.12.19 14:45:59,300.00,300.00,300.00,300.00,20,1260
19.12.19 14:46:59,305.00,305.00,305.00,305.00,20,1260
19.12.19 14:47:59,314.80,314.80,300.20,300.20,40,1260
19.12.19 14:52:59,300.00,300.00,300.00,300.00,80,1260
19.12.19 14:54:59,305.00,305.00,305.00,305.00,100,1340
19.12.19 14:55:59,305.00,305.00,305.00,305.00,20,1340
19.12.19 14:57:59,310.00,310.00,310.00,310.00,200,1340
19.12.19 14:59:59,310.00,310.00,310.00,310.00,20,1660
19.12.19 15:04:59,316.05,316.05,316.05,316.05,20,1660
19.12.19 15:07:59,310.65,310.65,310.65,310.65,40,0
19.12.19 15:14:59,310.00,310.00,310.00,310.00,20,1680
19.12.19 15:17:59,310.00,310.00,310.00,310.00,20,1660
19.12.19 15:20:59,304.35,306.30,304.35,306.30,100,1680
19.12.19 15:21:59,304.00,316.95,304.00,316.95,60,1720
19.12.19 15:22:59,306.15,306.20,306.15,306.20,60,1720
19.12.19 15:23:59,306.50,312.60,306.50,312.60,60,1720
19.12.19 15:26:59,312.60,312.60,306.15,306.15,40,1740
19.12.19 15:27:59,309.95,309.95,305.00,305.00,140,1760
19.12.19 15:28:59,292.30,327.70,292.30,298.35,300,1760
19.12.19 15:30:00,285.10,285.10,285.10,285.10,120,1760
20.12.19 09:15:59,307.25,339.00,307.25,330.65,520,2000
20.12.19 09:16:59,330.05,349.25,319.65,319.65,360,2000
20.12.19 09:17:59,320.00,320.00,315.00,315.00,200,2120
20.12.19 09:18:59,320.00,337.20,315.50,337.20,260,2120
20.12.19 09:19:59,318.55,318.55,302.45,302.45,320,2120
20.12.19 09:20:59,302.45,302.45,300.00,302.45,120,2380
20.12.19 09:21:59,293.60,293.60,293.60,293.60,100,2380
20.12.19 09:22:59,293.60,293.60,290.20,290.40,80,2380
20.12.19 09:23:59,288.90,291.35,279.35,291.35,140,2380
20.12.19 09:24:59,291.15,307.95,286.35,286.35,360,2380
20.12.19 09:25:59,286.35,304.55,282.95,282.95,220,2380
20.12.19 09:26:59,294.00,307.90,292.00,292.00,180,2820
20.12.19 09:27:59,292.00,292.00,292.00,292.00,80,2820
20.12.19 09:28:59,289.20,289.20,285.05,285.05,60,2820
