date,open,high,low,close,volume,oi,vwap,8,9
2020-04-02 13:18:00,1250.00,1250.00,1250.00,1250.00,20,0,,,
2020-04-02 13:28:00,1141.60,1141.60,1141.60,1141.60,20,20,,,
2020-04-02 14:48:00,1000.00,1000.00,1000.00,1000.00,20,40,,,
2020-05-02 09:58:00,910.00,910.00,910.00,910.00,20,60,,,
2020-05-02 14:38:00,1158.10,1158.10,1158.10,1158.10,20,60,,,
2020-05-02 15:14:00,1137.45,1137.45,1137.45,1137.45,20,80,,,
2020-06-02 11:47:00,1099.00,1099.00,1099.00,1099.00,40,100,,,
2020-06-02 11:48:00,1099.00,1099.00,1099.00,1099.00,20,100,,,
2020-06-02 12:35:00,1215.65,1215.65,1215.65,1215.65,20,120,,,
2020-06-02 15:15:00,1210.55,1210.55,1210.55,1210.55,20,100,,,
2020-07-02 12:46:00,1192.00,1192.00,1192.00,1192.00,20,100,,,
2020-10-02 10:45:00,1012.10,1012.10,1012.10,1012.10,20,80,,,
2020-10-02 11:32:00,1010.85,1010.85,1010.85,1010.85,20,100,,,
2020-11-02 10:05:00,1250.00,1250.00,1250.00,1250.00,20,100,,,
2020-12-02 09:46:00,1250.00,1250.00,1250.00,1250.00,20,100,,,
2020-02-13 13:17:00,1141.00,1141.00,1141.00,1141.00,20,120,,,
2020-02-14 11:04:00,984.00,984.00,984.00,984.00,20,120,,,
2020-02-14 12:15:00,1025.00,1025.00,1025.00,1025.00,20,120,,,
2020-02-17 09:30:00,875.00,875.00,875.00,875.00,20,120,,,
2020-02-17 09:45:00,955.00,955.00,955.00,955.00,80,120,,,
2020-02-17 09:46:00,955.00,955.00,955.00,955.00,20,120,,,
2020-02-17 09:47:00,955.10,955.10,955.10,955.10,40,200,,,
2020-02-17 09:48:00,970.00,970.00,970.00,970.00,40,200,,,
2020-02-17 09:49:00,957.45,957.45,957.45,957.45,20,200,,,
2020-02-17 10:31:00,924.40,924.40,924.40,924.40,40,300,,,
2020-02-17 11:55:00,924.40,924.40,924.40,924.40,20,340,,,
2020-02-18 09:19:00,800.00,800.00,800.00,800.00,40,340,,,
2020-02-18 09:45:00,777.40,777.40,777.40,777.40,20,380,,,
2020-02-18 10:28:00,777.00,777.00,770.00,770.00,40,400,,,
2020-02-18 10:53:00,745.00,745.00,745.00,745.00,20,440,,,
2020-02-18 11:48:00,740.00,740.00,740.00,740.00,20,460,,,
2020-02-18 13:20:00,720.00,720.00,720.00,720.00,20,480,,,
2020-02-18 13:26:00,720.00,720.00,720.00,720.00,20,500,,,
2020-02-18 14:12:00,742.65,742.65,742.65,742.65,20,520,,,
2020-02-18 14:59:00,725.00,725.00,725.00,725.00,20,540,,,
2020-02-18 15:10:00,754.00,754.00,754.00,754.00,20,540,,,
2020-02-18 15:12:00,775.00,777.00,775.00,777.00,40,520,,,
