0,1,2,3,4,5,6,7
22.05.20 10:45:59,930.35,930.35,930.35,930.35,20,0,930.35
22.05.20 11:08:59,870.75,870.75,870.75,870.75,100,20,880.74
22.05.20 11:12:59,917.35,917.35,917.35,917.35,20,120,885.97
22.05.20 11:21:59,991.75,991.75,991.75,991.75,20,140,899.19
22.05.20 11:26:59,900.00,900.00,900.00,900.00,20,140,899.28
22.05.20 11:33:59,950.00,950.00,950.00,950.00,20,160,904.35
22.05.20 11:37:59,990.00,990.00,990.00,990.00,20,160,912.14
22.05.20 12:12:59,875.55,875.55,875.55,875.55,20,160,909.09
22.05.20 12:24:59,902.30,902.30,902.30,902.30,40,180,908.12
22.05.20 12:59:59,909.40,909.40,909.40,909.40,20,220,908.20
22.05.20 14:15:59,1000.00,1000.00,1000.00,1000.00,20,240,913.94
22.05.20 14:28:59,900.00,900.00,900.00,900.00,20,240,913.12
22.05.20 14:31:59,875.00,875.00,875.00,875.00,20,240,911.00
22.05.20 14:34:59,857.00,857.00,848.30,848.30,80,240,900.20
22.05.20 14:35:59,847.80,851.15,847.80,848.15,60,240,894.06
22.05.20 14:40:59,884.70,884.70,884.70,884.70,40,340,893.37
22.05.20 14:51:59,882.10,882.10,882.10,882.10,20,320,892.97
22.05.20 15:01:59,875.05,875.05,875.00,875.00,40,340,891.77
22.05.20 15:10:59,889.00,889.00,883.90,883.90,160,380,890.51
22.05.20 15:15:59,915.70,915.70,915.70,915.70,40,380,891.77
22.05.20 15:17:59,950.00,950.00,950.00,950.00,20,380,893.19
22.05.20 15:24:59,981.95,981.95,981.95,981.95,20,380,895.30
22.05.20 15:28:59,980.60,980.60,980.60,980.60,20,380,897.29
26.05.20 09:17:59,1210.00,1210.00,1210.00,1210.00,20,380,1210.00
26.05.20 09:28:59,1123.85,1123.85,1123.70,1123.85,100,0,1138.15
26.05.20 10:21:59,1195.00,1195.00,1195.00,1195.00,20,460,1146.27
26.05.20 15:16:59,1084.25,1084.25,1084.25,1084.25,20,480,1138.52
26.05.20 15:20:59,1090.00,1090.00,1090.00,1090.00,20,480,1133.13
26.05.20 15:23:59,1092.90,1092.90,1092.90,1092.90,20,500,1129.11
27.05.20 12:59:59,1633.20,1633.20,1633.20,1633.20,20,500,1633.20
27.05.20 13:10:59,1690.50,1690.50,1690.50,1690.50,100,500,1680.95
27.05.20 15:21:59,2300.00,2300.00,2300.00,2300.00,20,480,1769.38
28.05.20 09:21:59,2462.30,2462.30,2462.30,2462.30,100,460,2462.30
28.05.20 11:06:59,2994.95,2994.95,2994.95,2994.95,20,420,2551.07
28.05.20 11:17:59,2891.15,2891.15,2891.15,2891.15,20,420,2599.65
28.05.20 11:56:59,2800.95,2800.95,2800.95,2800.95,20,420,2624.81
