0,1,2,3,4,5,6,7,8,9
29.04.20 09:47:59,1212.75,1212.75,1212.75,1212.75,20,0,1212.75,,0.00
29.04.20 09:48:59,920.00,920.00,920.00,920.00,40,0,1017.60,,0.00
29.04.20 09:49:59,1057.50,1057.50,1057.50,1057.50,20,0,1027.57,,0.00
29.04.20 09:52:59,998.95,998.95,998.95,998.95,20,40,1021.85,,0.00
29.04.20 10:06:59,883.30,883.30,883.30,883.30,20,60,998.75,,0.00
29.04.20 10:40:59,944.00,944.00,944.00,944.00,40,40,985.06,,0.00
29.04.20 10:41:59,887.00,887.00,887.00,887.00,20,80,974.17,,40.00
29.04.20 10:55:59,963.35,963.35,963.35,963.35,20,80,973.09,,0.00
29.04.20 11:14:59,951.65,951.65,951.65,951.65,20,100,971.14,,0.00
29.04.20 11:36:59,950.00,950.00,950.00,950.00,20,100,969.37,,0.00
29.04.20 11:48:59,950.00,950.00,950.00,950.00,40,120,966.60,,0.00
29.04.20 11:54:59,1000.00,1000.00,1000.00,1000.00,20,140,968.83,,0.00
29.04.20 11:56:59,980.00,980.00,980.00,980.00,20,140,969.53,,0.00
29.04.20 12:07:59,950.00,950.00,950.00,950.00,20,140,968.38,,0.00
29.04.20 12:21:59,984.90,984.90,984.90,984.90,20,160,969.30,,0.00
29.04.20 12:23:59,945.40,945.40,945.40,945.40,20,160,968.04,,0.00
29.04.20 12:27:59,983.10,983.10,960.00,960.00,40,180,968.37,,0.00
29.04.20 12:30:59,945.40,945.40,945.40,945.40,40,200,966.38,,0.00
29.04.20 12:38:59,957.55,957.55,957.55,957.55,20,220,966.01,,0.00
29.04.20 13:15:59,962.05,962.05,962.05,962.05,20,240,965.85,,0.00
29.04.20 13:28:59,975.00,975.00,975.00,975.00,20,260,966.20,,0.00
29.04.20 13:31:59,975.00,975.00,975.00,975.00,40,280,967.13,,0.00
29.04.20 13:34:59,983.50,983.50,983.50,983.50,20,300,967.70,,0.00
29.04.20 13:35:59,983.50,983.50,983.50,983.50,20,300,968.22,,0.00
29.04.20 13:36:59,965.90,1065.20,965.90,969.85,80,320,971.10,,20.00
29.04.20 13:39:59,970.00,970.00,961.25,961.25,40,360,970.79,,0.00
29.04.20 13:44:59,991.95,991.95,962.00,962.00,40,400,971.12,,0.00
29.04.20 13:48:59,960.00,960.00,960.00,960.00,40,440,970.56,,0.00
29.04.20 13:52:59,946.90,946.90,946.90,946.90,20,460,969.99,,0.00
29.04.20 13:55:59,983.80,983.80,983.80,983.80,20,460,970.31,,0.00
29.04.20 14:09:59,985.00,985.00,985.00,985.00,20,460,970.66,,0.00
29.04.20 14:11:59,995.00,995.00,995.00,995.00,20,460,971.21,,0.00
29.04.20 14:12:59,966.35,966.35,966.35,966.35,20,460,971.10,,0.00
29.04.20 14:16:59,1000.00,1000.00,1000.00,1000.00,20,460,971.73,,0.00
29.04.20 14:19:59,1001.95,1020.00,1001.95,1020.00,40,480,973.36,,0.00
29.04.20 14:20:59,1039.60,1039.60,1039.60,1039.60,20,480,974.72,,0.00
29.04.20 14:22:59,1093.75,1093.75,1093.75,1093.75,20,480,977.10,,0.00
29.04.20 14:24:59,1020.00,1020.00,1020.00,1020.00,20,480,977.94,,0.00
29.04.20 14:35:59,1096.15,1096.15,1096.15,1096.15,20,480,980.21,,0.00
29.04.20 14:36:59,1057.80,1100.00,1057.80,1100.00,40,500,983.87,,20.00
29.04.20 14:37:59,1105.00,1105.00,1105.00,1105.00,20,500,986.07,,0.00
29.04.20 14:38:59,1100.00,1100.00,1084.55,1084.55,40,500,989.79,,0.00
29.04.20 14:41:59,1111.05,1111.05,1111.05,1111.05,20,500,991.88,,0.00
29.04.20 14:42:59,1120.00,1120.00,1120.00,1120.00,20,500,994.06,,0.00
29.04.20 14:45:59,1150.00,1150.00,1150.00,1150.00,20,500,996.66,,0.00
