date,open,high,low,close,volume,oi,vwap
2020-06-19 12:07:00,219.90,222.45,219.90,222.10,480,0,220.95
2020-06-19 12:08:00,222.55,222.55,222.55,222.55,60,0,221.12
2020-06-19 12:10:00,216.95,216.95,216.95,216.95,20,540,220.98
2020-06-19 12:15:00,234.20,234.20,234.20,234.20,20,560,221.43
2020-06-19 12:30:00,236.95,236.95,236.95,236.95,20,560,221.95
2020-06-19 12:39:00,227.05,227.05,227.05,227.05,20,580,222.11
2020-06-19 12:41:00,235.25,235.25,235.25,235.25,20,580,222.52
2020-06-19 12:49:00,234.90,234.90,234.90,234.90,20,600,222.90
2020-06-19 13:39:00,254.60,254.60,254.60,254.60,20,620,223.83
2020-06-19 14:37:00,232.65,232.65,232.65,232.65,20,620,224.08
2020-06-19 15:22:00,213.60,213.60,213.60,213.60,20,600,223.79
2020-06-19 15:28:00,209.85,209.85,209.85,209.85,20,600,223.41
2020-06-22 09:18:00,199.00,199.00,199.00,199.00,20,580,199.00
2020-06-22 09:19:00,167.10,167.15,167.10,167.15,40,580,177.75
2020-06-22 09:27:00,160.00,160.00,160.00,160.00,20,620,173.31
2020-06-22 09:38:00,158.05,158.05,158.05,158.05,20,640,170.26
2020-06-22 10:18:00,148.75,148.75,148.75,148.75,20,640,166.67
2020-06-22 10:40:00,162.10,162.10,162.10,162.10,80,640,164.86
2020-06-22 10:41:00,163.65,163.65,163.65,163.65,20,640,164.75
2020-06-22 10:44:00,166.60,169.20,166.50,167.85,140,640,165.74
2020-06-22 10:45:00,169.55,169.60,169.55,169.60,60,640,166.29
2020-06-22 10:46:00,167.55,167.55,167.55,167.55,120,640,166.58
2020-06-22 10:47:00,160.25,160.25,157.25,157.25,80,620,165.67
2020-06-22 10:49:00,161.45,161.45,160.30,160.30,40,620,165.38
2020-06-22 10:51:00,165.00,165.00,164.60,164.60,60,640,165.33
2020-06-22 10:54:00,167.35,167.35,167.35,167.35,20,640,165.38
2020-06-22 10:55:00,167.25,167.25,167.25,167.25,40,640,165.48
2020-06-22 10:56:00,160.20,160.20,160.20,160.20,40,640,165.22
2020-06-22 10:57:00,161.75,161.75,159.05,159.05,40,620,165.00
2020-06-22 10:58:00,161.35,161.35,161.35,161.35,20,620,164.91
2020-06-22 10:59:00,160.20,160.20,160.20,160.20,60,520,164.61
2020-06-22 11:01:00,161.15,161.15,155.00,155.00,260,520,162.68
2020-06-22 11:03:00,157.80,157.80,157.80,157.80,20,740,162.60
2020-06-22 11:05:00,153.70,153.70,153.70,153.70,20,740,162.46
2020-06-22 11:29:00,160.35,160.35,160.35,160.35,20,300,162.43
2020-06-22 11:30:00,159.80,159.80,159.80,159.80,20,300,162.38
2020-06-22 11:31:00,165.95,165.95,165.95,165.95,20,300,162.44
2020-06-22 11:33:00,163.15,163.15,163.15,163.15,20,360,162.45
2020-06-22 11:37:00,161.25,161.25,161.25,161.25,20,380,162.43
2020-06-22 11:44:00,159.45,159.45,159.45,159.45,20,380,162.39
2020-06-22 11:46:00,164.10,164.10,164.10,164.10,40,400,162.44
2020-06-22 11:47:00,161.95,161.95,161.95,161.95,20,400,162.43
2020-06-22 11:50:00,160.10,160.10,160.10,160.10,80,440,162.31
2020-06-22 11:52:00,158.00,158.00,158.00,158.00,40,440,162.19
2020-06-22 11:56:00,158.30,158.30,158.30,158.30,20,420,162.14
2020-06-22 11:57:00,157.65,157.65,157.65,157.65,40,420,162.03
2020-06-22 11:59:00,161.65,161.65,161.65,161.65,40,420,162.02
2020-06-22 12:02:00,165.55,165.55,165.55,165.55,40,400,162.11
2020-06-22 12:06:00,162.00,162.00,162.00,162.00,20,400,162.10
