date,open,high,low,close,volume,oi,vwap
2020-06-07 10:02:00,735.00,735.00,735.00,735.00,20,0,735.00
2020-06-07 14:43:00,675.00,675.00,650.05,675.00,200,20,676.64
2020-07-07 09:25:00,591.50,591.50,591.50,591.50,20,220,591.50
2020-07-07 09:47:00,523.80,523.80,523.80,523.80,20,240,557.65
2020-07-07 10:02:00,510.40,510.40,510.40,510.40,20,260,541.90
2020-07-07 12:19:00,514.30,514.30,514.30,514.30,20,240,535.00
2020-07-07 12:20:00,559.10,559.10,559.10,559.10,20,260,539.82
2020-07-07 12:50:00,610.00,610.00,610.00,610.00,20,280,551.51
2020-07-07 12:52:00,620.00,620.00,620.00,620.00,20,280,561.30
2020-07-07 12:53:00,583.05,583.05,583.05,583.05,20,280,564.01
2020-07-07 13:15:00,650.00,650.00,650.00,650.00,20,280,573.57
2020-07-07 13:22:00,679.00,679.00,679.00,679.00,20,280,584.11
2020-07-07 13:23:00,700.00,700.00,700.00,700.00,20,280,594.65
2020-07-07 13:24:00,700.00,700.00,700.00,700.00,40,280,610.85
2020-07-07 13:25:00,700.00,700.00,700.00,700.00,40,280,622.74
2020-07-07 13:26:00,700.00,700.00,700.00,700.00,100,280,642.05
2020-07-07 13:34:00,700.00,700.00,700.00,700.00,20,220,644.81
2020-07-07 14:15:00,710.25,710.25,710.25,710.25,20,220,647.79
2020-07-07 14:35:00,775.00,775.00,775.00,775.00,20,220,653.32
2020-07-07 14:59:00,774.65,774.65,774.65,774.65,20,220,658.37
2020-07-07 15:01:00,769.95,769.95,769.95,769.95,20,220,662.84
2020-07-07 15:02:00,772.45,772.45,772.45,772.45,20,220,667.05
2020-07-07 15:08:00,789.85,804.85,789.85,804.85,60,220,680.27
2020-07-07 15:09:00,792.00,795.00,792.00,792.00,140,320,702.08
2020-07-07 15:10:00,792.00,792.00,792.00,792.00,20,320,704.51
2020-07-07 15:19:00,761.15,782.80,761.15,782.80,40,360,707.97
2020-07-07 15:23:00,775.00,775.00,771.00,771.00,80,380,714.02
2020-07-07 15:24:00,766.10,766.10,766.10,766.10,40,420,716.33
2020-07-07 15:25:00,766.10,766.10,766.10,766.10,40,420,718.45
2020-08-07 09:15:00,829.50,829.50,829.50,829.50,20,460,829.50
2020-08-07 09:16:00,813.15,813.15,813.15,813.15,20,460,821.32
2020-08-07 09:17:00,814.00,814.00,814.00,814.00,20,480,818.88
2020-08-07 09:21:00,836.00,836.00,836.00,836.00,20,480,823.16
2020-08-07 09:34:00,841.20,841.20,841.20,841.20,20,460,826.77
2020-08-07 09:46:00,836.00,836.00,836.00,836.00,20,440,828.30
2020-08-07 09:47:00,815.00,815.00,815.00,815.00,20,440,826.40
2020-08-07 09:48:00,820.00,820.00,820.00,820.00,280,440,822.13
2020-08-07 09:55:00,851.55,851.55,851.55,851.55,20,360,823.47
2020-08-07 10:33:00,900.00,900.00,900.00,900.00,20,340,826.80
2020-08-07 10:37:00,919.40,919.40,919.40,919.40,20,360,830.65
2020-08-07 11:34:00,851.70,851.70,851.70,851.70,20,360,831.50
2020-08-07 11:35:00,850.00,850.00,850.00,850.00,20,360,832.21
