0,1,2,3,4,5,6,7
28.10.20 15:11:59,832.00,832.00,832.00,832.00,200,0,832.00
29.10.20 09:45:59,911.35,911.35,911.35,911.35,50,0,911.35
29.10.20 09:49:59,873.40,873.40,804.50,804.50,75,250,864.97
29.10.20 11:28:59,922.00,922.00,922.00,922.00,25,225,874.47
29.10.20 11:29:59,865.40,865.40,865.40,865.40,25,225,873.17
29.10.20 11:50:59,818.40,818.40,818.40,818.40,25,250,866.33
29.10.20 15:28:59,865.00,865.00,865.00,865.00,25,250,866.18
30.10.20 09:15:59,803.15,803.20,803.15,803.20,50,275,803.17
30.10.20 09:17:59,887.00,887.00,887.00,887.00,25,300,831.11
30.10.20 09:23:59,848.95,848.95,840.00,840.00,75,300,838.53
30.10.20 09:35:59,803.00,803.00,803.00,803.00,50,350,829.65
30.10.20 09:43:59,800.00,800.00,800.00,800.00,300,400,811.86
30.10.20 09:46:59,806.25,806.25,806.25,806.25,50,675,811.35
30.10.20 09:47:59,847.45,847.45,847.45,847.45,50,675,814.36
30.10.20 09:52:59,838.50,838.50,838.50,838.50,50,650,816.21
30.10.20 10:00:59,782.55,782.55,782.50,782.55,125,600,810.79
30.10.20 10:03:59,779.95,779.95,779.95,779.95,25,675,809.83
30.10.20 10:10:59,780.00,780.00,780.00,780.00,250,700,802.72
30.10.20 10:11:59,810.00,810.00,810.00,810.00,25,700,802.89
30.10.20 10:15:59,780.00,780.00,780.00,780.00,25,675,802.37
30.10.20 10:19:59,798.00,798.00,798.00,798.00,50,650,802.18
30.10.20 10:21:59,784.95,784.95,784.95,784.95,25,700,801.82
30.10.20 10:22:59,790.00,790.00,790.00,790.00,50,700,801.33
30.10.20 10:23:59,800.00,800.00,800.00,800.00,50,675,801.28
30.10.20 10:27:59,791.75,791.75,775.00,775.00,250,725,798.81
30.10.20 10:28:59,778.00,796.05,778.00,796.05,50,725,798.44
30.10.20 10:30:59,775.00,775.00,755.45,755.50,150,775,795.03
30.10.20 10:32:59,768.65,768.65,768.65,768.65,25,0,794.65
30.10.20 10:33:59,767.50,770.00,767.50,770.00,525,850,788.53
30.10.20 10:38:59,756.00,756.00,756.00,756.00,25,1375,788.18
30.10.20 10:43:59,776.00,776.00,776.00,776.00,25,1400,788.05
30.10.20 10:44:59,780.00,780.00,780.00,780.00,25,1400,787.96
30.10.20 10:45:59,780.00,788.75,780.00,788.75,50,1400,787.89
30.10.20 10:47:59,813.60,813.60,813.60,813.60,25,1400,788.15
