date,open,high,low,close,volume,oi,vwap,8,9
2020-12-17 09:20:00,0.20,0.20,0.20,0.20,175,0,0.20,0.20,0.80
2020-12-17 10:54:00,0.50,0.50,0.50,0.50,50,175,0.26,0.20,0.50
2020-12-17 12:11:00,0.85,0.85,0.85,0.85,375,125,0.63,0.35,0.85
2020-12-17 12:35:00,0.65,0.65,0.65,0.65,175,375,0.63,0.50,0.70
2020-12-17 12:36:00,0.70,0.70,0.50,0.50,175,375,0.62,0.30,0.70
2020-12-17 12:43:00,0.30,0.30,0.30,0.30,125,550,0.58,0.30,0.50
2020-12-17 13:05:00,0.30,0.30,0.30,0.30,100,425,0.56,0.30,0.70
2020-12-17 13:33:00,0.30,0.30,0.30,0.30,650,325,0.46,0.25,0.30
2020-12-17 13:35:00,0.30,0.30,0.30,0.30,50,325,0.46,0.25,0.30
2020-12-17 14:31:00,0.45,0.45,0.45,0.45,425,800,0.46,0.25,0.60
2020-12-17 15:04:00,0.30,0.30,0.30,0.30,200,800,0.44,0.25,0.30
2020-12-17 15:05:00,0.25,0.25,0.25,0.25,1000,800,0.39,0.05,0.30
2020-12-17 15:09:00,0.15,0.15,0.15,0.15,125,2000,0.38,0.15,0.35
2020-12-17 15:13:00,0.20,0.20,0.20,0.20,25,1875,0.38,0.20,0.30
2020-12-17 15:14:00,0.20,0.20,0.05,0.05,200,1875,0.36,0.05,0.30
