date,open,high,low,close,volume,oi,vwap
2018-09-28 09:15:00,11144.60,11178.65,11144.60,11178.65,525,0,
2018-09-28 09:16:00,11178.65,11178.65,11153.10,11157.90,1200,300,
2018-09-28 09:17:00,11157.90,11157.90,11156.75,11156.75,75,300,
2018-09-28 09:18:00,11156.75,11156.75,11146.60,11149.00,900,1950,
2018-09-28 09:19:00,11144.85,11155.00,11144.85,11155.00,75,1950,
2018-09-28 09:20:00,11155.00,11155.00,11149.60,11149.60,825,1950,
2018-09-28 09:21:00,11149.60,11149.60,11149.60,11149.60,0,0,
2018-09-28 09:22:00,11149.60,11149.60,11149.60,11149.60,0,0,
2018-09-28 09:23:00,11149.60,11149.60,11149.60,11149.60,0,0,
2018-09-28 09:24:00,11149.60,11149.60,11125.35,11125.35,150,3825,
2018-09-28 09:25:00,11125.35,11125.35,11120.10,11120.10,525,3825,
2018-09-28 09:26:00,11120.10,11120.10,11104.10,11106.35,300,3825,
2018-09-28 09:27:00,11106.35,11106.35,11094.00,11100.00,300,4725,
2018-09-28 09:28:00,11100.00,11116.95,11099.45,11099.45,525,4725,
2018-09-28 09:29:00,11099.45,11099.45,11090.85,11093.40,1725,4725,
2018-09-28 09:30:00,11093.40,11096.90,11080.10,11080.10,750,7575,
2018-09-28 09:31:00,11080.10,11080.10,11059.00,11074.35,900,7575,
2018-09-28 09:32:00,11080.65,11080.65,11070.25,11070.25,1050,7575,
2018-09-28 09:33:00,11070.25,11081.90,11063.45,11081.90,2775,8625,
2018-09-28 09:34:00,11081.90,11081.90,11081.90,11081.90,0,0,
2018-09-28 09:35:00,11081.90,11090.15,11081.90,11089.60,750,8625,
2018-09-28 09:36:00,11089.60,11089.60,11070.00,11070.00,150,11850,
2018-09-28 09:37:00,11070.00,11085.35,11069.90,11077.30,8625,11850,
2018-09-28 09:38:00,11081.55,11085.85,11072.95,11084.10,5475,11850,
2018-09-28 09:39:00,11084.10,11085.60,11084.10,11084.70,900,20775,
2018-09-28 09:40:00,11084.70,11091.85,11081.35,11091.40,1725,20775,
2018-09-28 09:41:00,11091.40,11091.40,11086.80,11088.85,975,20775,
2018-09-28 09:42:00,11088.85,11097.45,11085.05,11097.45,2700,23550,
2018-09-28 09:43:00,11097.45,11098.90,11094.30,11095.95,1650,23550,
2018-09-28 09:44:00,11095.95,11095.95,11086.80,11091.55,150,23550,
2018-09-28 09:45:00,11091.55,11095.65,11088.30,11095.65,450,26100,
2018-09-28 09:46:00,11095.65,11095.65,11088.25,11091.30,975,26100,
2018-09-28 09:47:00,11091.30,11092.10,11084.15,11084.15,525,26100,
2018-09-28 09:48:00,11084.15,11084.15,11084.00,11084.00,225,26100,
2018-09-28 09:49:00,11084.00,11084.00,11075.25,11075.25,150,27375,
2018-09-28 09:50:00,11075.25,11090.00,11075.25,11090.00,2400,27375,
2018-09-28 09:51:00,11090.00,11090.55,11088.80,11090.55,975,30675,
2018-09-28 09:52:00,11090.55,11100.00,11090.55,11100.00,1500,30675,
2018-09-28 09:53:00,11100.00,11100.00,11100.00,11100.00,300,30675,
2018-09-28 09:54:00,11100.00,11120.00,11100.00,11119.75,1125,32250,
2018-09-28 09:55:00,11119.75,11119.75,11119.75,11119.75,0,0,
2018-09-28 09:56:00,11119.75,11119.75,11111.85,11113.00,225,32250,
2018-09-28 09:57:00,11113.00,11119.30,11113.00,11119.30,2625,32925,
2018-09-28 09:58:00,11119.30,11119.30,11119.30,11119.30,0,0,
2018-09-28 09:59:00,11119.30,11119.30,11111.00,11111.00,75,32925,
2018-09-28 10:00:00,11111.00,11111.00,11106.95,11106.95,150,33450,
2018-09-28 10:01:00,11106.95,11106.95,11106.95,11106.95,0,0,
2018-09-28 10:02:00,11106.95,11106.95,11102.75,11102.75,300,0,
2018-09-28 10:03:00,11102.75,11107.80,11102.25,11105.25,225,33975,
2018-09-28 10:04:00,11105.25,11105.25,11105.25,11105.25,0,0,
2018-09-28 10:05:00,11105.25,11105.25,11105.25,11105.25,0,0,
2018-09-28 10:06:00,11105.25,11105.25,11105.25,11105.25,0,0,
2018-09-28 10:07:00,11105.25,11105.25,11082.05,11082.05,750,34050,
2018-09-28 10:08:00,11082.05,11088.25,11082.05,11088.25,1050,34050,
2018-09-28 10:09:00,11088.25,11093.50,11088.25,11091.05,900,36225,
2018-09-28 10:10:00,11091.05,11092.65,11091.05,11092.65,75,36225,
2018-09-28 10:11:00,11092.65,11096.05,11092.65,11096.05,300,36225,
2018-09-28 10:12:00,11096.05,11096.05,11091.90,11093.40,1050,37350,
2018-09-28 10:13:00,11093.40,11093.40,11080.50,11080.50,675,37350,
2018-09-28 10:14:00,11080.50,11080.50,11070.65,11075.20,825,37350,
2018-09-28 10:15:00,11075.20,11078.55,11075.20,11075.60,900,37350,
2018-09-28 10:16:00,11075.60,11075.60,11068.55,11070.20,675,39975,
2018-09-28 10:17:00,11070.20,11085.85,11070.20,11085.85,1800,39975,
2018-09-28 10:18:00,11085.85,11089.05,11081.20,11084.95,1200,42300,
2018-09-28 10:19:00,11084.95,11088.65,11084.90,11087.85,1350,42300,
2018-09-28 10:20:00,11087.85,11087.85,11084.05,11084.50,150,42300,
2018-09-28 10:21:00,11089.70,11089.70,11088.85,11089.70,525,42300,
2018-09-28 10:22:00,11089.70,11089.70,11085.70,11088.15,900,44775,
2018-09-28 10:23:00,11088.15,11090.30,11087.70,11090.30,450,44775,
2018-09-28 10:24:00,11090.30,11090.30,11089.25,11089.25,450,46125,
2018-09-28 10:25:00,11089.25,11094.20,11089.00,11094.20,975,46125,
2018-09-28 10:26:00,11094.20,11104.65,11094.20,11104.65,1500,46125,
2018-09-28 10:27:00,11104.65,11108.00,11104.65,11108.00,900,46125,
2018-09-28 10:28:00,11108.00,11108.00,11098.20,11098.20,1500,49725,
2018-09-28 10:29:00,11098.20,11098.20,11092.25,11092.25,750,49725,
2018-09-28 10:30:00,11092.25,11092.25,11092.25,11092.25,0,0,
2018-09-28 10:31:00,11092.25,11095.55,11092.25,11095.45,750,51825,
2018-09-28 10:32:00,11095.45,11104.70,11095.45,11104.70,975,51825,
2018-09-28 10:33:00,11104.70,11114.10,11104.70,11114.10,1500,54000,
2018-09-28 10:34:00,11111.05,11119.90,11111.05,11119.90,1425,54000,
2018-09-28 10:35:00,11119.90,11122.00,11111.85,11111.85,1425,54000,
2018-09-28 10:36:00,11111.85,11115.35,11111.85,11112.35,300,57750,
2018-09-28 10:37:00,11112.35,11112.35,11106.70,11112.00,1650,57750,
2018-09-28 10:38:00,11112.00,11117.70,11112.00,11117.60,300,57750,
2018-09-28 10:39:00,11117.60,11122.70,11117.60,11122.70,600,60075,
2018-09-28 10:40:00,11122.70,11130.00,11121.60,11127.50,2025,60075,
2018-09-28 10:41:00,11125.60,11130.00,11125.60,11130.00,975,60075,
2018-09-28 10:42:00,11130.00,11133.00,11130.00,11133.00,300,64650,
2018-09-28 10:43:00,11133.00,11133.00,11133.00,11133.00,0,0,
2018-09-28 10:44:00,11133.00,11133.00,11120.35,11124.65,225,64650,
2018-09-28 10:45:00,11124.65,11134.55,11124.65,11134.55,2700,64875,
2018-09-28 10:46:00,11134.55,11134.55,11124.10,11124.10,2550,64875,
2018-09-28 10:47:00,11123.80,11123.80,11121.95,11121.95,975,64875,
2018-09-28 10:48:00,11121.95,11121.95,11116.30,11116.30,300,69525,
2018-09-28 10:49:00,11116.30,11116.30,11116.30,11116.30,0,0,
2018-09-28 10:50:00,11116.30,11121.85,11116.30,11121.85,75,69525,
2018-09-28 10:51:00,11121.85,11123.60,11121.85,11123.60,75,0,
2018-09-28 10:52:00,11123.60,11123.75,11122.00,11123.75,150,0,
2018-09-28 10:53:00,11123.75,11123.75,11123.75,11123.75,0,0,
2018-09-28 10:54:00,11123.75,11123.75,11122.55,11122.55,375,70125,
2018-09-28 10:55:00,11122.55,11125.15,11120.80,11120.80,450,70125,
2018-09-28 10:56:00,11120.80,11120.80,11120.80,11120.80,0,0,
2018-09-28 10:57:00,11120.80,11120.80,11118.00,11118.00,375,70125,
2018-09-28 10:58:00,11118.00,11118.00,11118.00,11118.00,0,0,
2018-09-28 10:59:00,11118.00,11123.25,11114.80,11114.80,225,70650,
2018-09-28 11:00:00,11114.80,11120.10,11114.80,11120.10,1050,70800,
2018-09-28 11:01:00,11120.10,11123.35,11120.10,11123.35,150,0,
2018-09-28 11:02:00,11123.35,11132.75,11123.35,11132.75,675,70800,
2018-09-28 11:03:00,11132.75,11132.75,11122.50,11125.70,150,0,
2018-09-28 11:04:00,11125.70,11125.70,11125.70,11125.70,0,0,
2018-09-28 11:05:00,11125.70,11125.70,11125.70,11125.70,0,0,
2018-09-28 11:06:00,11125.70,11125.70,11120.00,11123.80,150,71400,
2018-09-28 11:07:00,11123.80,11123.80,11119.50,11119.50,75,71400,
2018-09-28 11:08:00,11119.50,11119.50,11112.45,11112.45,75,0,
2018-09-28 11:09:00,11112.45,11112.45,11112.45,11112.45,0,0,
2018-09-28 11:10:00,11112.45,11112.45,11112.45,11112.45,0,0,
2018-09-28 11:11:00,11112.45,11112.45,11112.45,11112.45,0,0,
2018-09-28 11:12:00,11112.45,11125.10,11112.45,11125.10,225,71550,
2018-09-28 11:13:00,11125.10,11126.70,11123.00,11123.00,900,71550,
2018-09-28 11:14:00,11123.00,11128.05,11123.00,11128.05,375,71550,
2018-09-28 11:15:00,11128.05,11136.00,11128.05,11134.25,1200,71100,
2018-09-28 11:16:00,11134.25,11140.00,11134.25,11140.00,150,71100,
2018-09-28 11:17:00,11140.00,11140.35,11137.90,11140.35,525,71100,
2018-09-28 11:18:00,11140.35,11145.35,11140.35,11145.35,300,71925,
2018-09-28 11:19:00,11145.35,11145.35,11142.80,11142.80,225,71925,
2018-09-28 11:20:00,11142.80,11146.80,11142.80,11146.80,150,71925,
2018-09-28 11:21:00,11146.80,11146.80,11142.05,11142.50,600,72300,
2018-09-28 11:22:00,11142.50,11144.00,11140.50,11142.60,1425,72300,
2018-09-28 11:23:00,11142.60,11142.90,11142.60,11142.90,150,72300,
2018-09-28 11:24:00,11142.95,11143.95,11141.65,11142.80,750,73350,
2018-09-28 11:25:00,11142.80,11144.90,11141.05,11141.95,1200,73350,
2018-09-28 11:26:00,11141.95,11142.05,11139.25,11139.50,525,73350,
2018-09-28 11:27:00,11139.50,11139.50,11135.00,11135.00,675,75075,
2018-09-28 11:28:00,11135.00,11139.15,11132.00,11139.15,600,75075,
2018-09-28 11:29:00,11139.15,11139.15,11135.00,11135.00,150,75075,
2018-09-28 11:30:00,11135.00,11139.50,11135.00,11139.50,75,0,
2018-09-28 11:31:00,11139.50,11139.50,11139.50,11139.50,0,0,
2018-09-28 11:32:00,11139.50,11145.80,11139.50,11141.40,150,75825,
2018-09-28 11:33:00,11141.40,11146.30,11141.40,11146.30,75,75825,
2018-09-28 11:34:00,11146.30,11150.00,11143.05,11150.00,450,75900,
2018-09-28 11:35:00,11149.40,11157.80,11149.40,11157.80,1575,75900,
2018-09-28 11:36:00,11157.80,11163.90,11157.80,11163.90,525,78225,
2018-09-28 11:37:00,11163.90,11163.90,11162.10,11162.10,75,78225,
2018-09-28 11:38:00,11162.10,11162.10,11158.20,11158.20,150,78225,
2018-09-28 11:39:00,11158.20,11159.00,11157.80,11159.00,675,78225,
2018-09-28 11:40:00,11159.00,11160.50,11159.00,11160.00,675,78225,
2018-09-28 11:41:00,11160.00,11160.00,11155.50,11155.50,600,78225,
2018-09-28 11:42:00,11155.50,11157.05,11155.50,11157.05,300,79500,
2018-09-28 11:43:00,11156.85,11157.35,11154.10,11154.30,375,79500,
2018-09-28 11:44:00,11154.30,11160.00,11154.30,11160.00,150,79500,
2018-09-28 11:45:00,11160.00,11166.75,11160.00,11165.50,450,80400,
2018-09-28 11:46:00,11165.50,11167.95,11165.40,11167.50,375,80400,
2018-09-28 11:47:00,11167.50,11167.50,11161.85,11164.60,225,80400,
2018-09-28 11:48:00,11164.60,11164.85,11164.60,11164.85,75,80400,
