date,open,high,low,close,volume,oi
2019-02-26 13:51:00,2.20,3.55,2.20,2.45,300,0
2019-02-26 13:52:00,2.45,3.55,2.45,2.45,525,0
2019-02-26 13:53:00,2.45,3.55,2.45,3.55,150,75
2019-02-26 13:54:00,2.45,3.55,2.45,3.55,375,75
2019-02-26 14:01:00,3.55,3.55,2.45,3.55,300,75
2019-02-26 14:02:00,3.55,3.55,2.45,3.50,225,0
2019-02-26 14:03:00,3.50,4.00,2.45,4.00,300,0
2019-02-26 14:04:00,4.00,4.00,2.70,3.30,450,0
2019-02-26 14:05:00,2.70,3.30,2.70,3.25,225,75
2019-02-26 14:06:00,3.25,3.25,3.25,3.25,0,75
2019-02-26 14:31:00,3.25,3.25,3.25,3.25,0,75
2019-02-26 14:38:00,3.25,3.25,3.25,3.25,0,0
2019-02-26 14:39:00,3.25,3.25,3.25,3.25,0,0
2019-02-26 14:47:00,3.25,3.25,3.25,3.25,0,0
2019-02-26 15:07:00,3.25,3.25,3.25,3.25,0,0
2019-02-26 15:08:00,3.25,3.80,2.70,3.80,375,75
2019-02-26 15:09:00,3.80,3.80,2.70,3.75,375,75
2019-02-26 15:10:00,3.00,4.00,3.00,4.00,150,75
2019-02-26 15:11:00,4.00,4.00,3.70,3.70,225,75
2019-02-26 15:13:00,3.70,3.70,3.70,3.70,0,75
2019-02-26 15:14:00,3.70,3.70,3.70,3.70,0,75
2019-02-26 15:18:00,3.70,3.70,3.45,3.45,75,75
2019-02-26 15:24:00,3.45,3.45,3.45,3.45,0,75
2019-02-26 15:26:00,3.45,3.45,3.45,3.45,0,0
2019-02-27 10:30:00,3.80,4.00,2.95,3.50,450,0
2019-02-27 10:31:00,3.50,3.50,2.70,3.40,1200,225
2019-02-27 10:32:00,3.40,3.50,2.85,3.50,450,225
2019-02-27 10:33:00,3.50,3.50,3.50,3.50,0,225
2019-02-27 10:36:00,3.50,3.50,3.50,3.50,0,225
2019-02-27 10:47:00,2.50,3.50,2.50,3.50,300,375
2019-02-27 10:53:00,3.50,3.50,2.50,3.50,525,375
2019-02-27 10:55:00,2.50,3.45,2.50,3.45,375,375
2019-02-27 10:56:00,3.45,3.45,2.50,3.45,450,375
2019-02-27 10:57:00,2.50,2.50,2.50,2.50,0,375
2019-02-27 10:58:00,3.50,3.50,2.50,3.50,150,375
2019-02-27 10:59:00,3.50,3.50,2.50,3.50,300,375
2019-02-27 11:01:00,2.50,3.50,2.50,2.50,450,375
2019-02-27 11:02:00,2.50,3.50,2.50,3.50,150,375
2019-02-27 11:03:00,2.50,3.50,2.50,3.50,150,375
2019-02-27 11:04:00,2.50,2.50,2.50,2.50,75,375
2019-02-27 11:05:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:06:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:07:00,3.50,3.50,2.50,2.50,450,375
2019-02-27 11:08:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:09:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:10:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:11:00,2.50,2.50,2.50,2.50,0,375
2019-02-27 11:12:00,3.50,3.50,2.50,2.50,225,375
2019-02-27 11:13:00,3.50,3.50,2.50,3.50,300,375
2019-02-27 11:14:00,2.50,3.50,2.50,3.50,450,375
2019-02-27 11:15:00,3.50,3.50,2.50,3.50,300,375
2019-02-27 11:16:00,2.50,3.50,2.50,3.50,225,375
2019-02-27 11:18:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:19:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:21:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:22:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:23:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:24:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:56:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 11:59:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 12:05:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 12:06:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 12:14:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 12:16:00,3.50,3.50,3.50,3.50,0,0
2019-02-27 12:17:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 12:45:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 14:02:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 14:14:00,3.50,3.50,3.50,3.50,0,375
2019-02-27 14:16:00,3.50,3.50,3.50,3.50,0,375
2019-02-28 09:46:00,2.00,2.00,2.00,2.00,0,375
2019-02-28 09:47:00,2.00,2.00,1.25,1.75,1200,375
2019-02-28 09:49:00,1.75,1.75,1.75,1.75,0,375
2019-02-28 09:57:00,1.75,1.75,1.75,1.75,0,375
2019-02-28 09:59:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 10:01:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 10:10:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 10:41:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 10:47:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 10:48:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 10:53:00,1.05,1.05,1.05,1.05,0,375
2019-02-28 11:36:00,1.05,1.60,1.05,1.55,1575,375
2019-02-28 11:37:00,1.55,1.55,1.55,1.55,0,375
2019-02-28 11:39:00,1.55,1.55,1.55,1.55,0,375
