date,open,high,low,close,volume,oi
2019-09-07 09:24:00,10.15,12.20,10.15,12.05,750,0
2019-09-07 09:25:00,12.05,12.05,12.05,12.05,0,0
2019-09-07 09:26:00,12.05,12.05,12.05,12.05,0,0
2019-09-07 09:27:00,12.05,12.05,8.45,8.45,450,900
2019-09-07 09:28:00,8.45,8.45,7.15,7.15,225,900
2019-09-07 09:29:00,7.15,7.15,7.15,7.15,0,900
2019-09-07 09:30:00,7.15,7.15,7.15,7.15,0,900
2019-09-07 09:31:00,7.15,7.15,7.15,7.15,0,900
2019-09-07 09:32:00,7.15,7.15,7.15,7.15,0,900
2019-09-07 09:33:00,7.15,7.25,7.15,7.25,225,900
2019-09-07 09:34:00,7.25,7.25,7.25,7.25,0,525
2019-09-07 09:35:00,7.25,7.25,7.25,7.25,0,525
2019-09-07 09:36:00,7.25,7.25,7.25,7.25,0,525
2019-09-07 09:37:00,7.25,7.25,7.25,7.25,0,525
2019-09-07 09:38:00,7.25,7.25,7.25,7.25,0,525
2019-09-07 09:39:00,7.25,9.85,7.25,9.85,75,525
2019-09-07 09:40:00,9.85,9.85,9.85,9.85,0,525
2019-09-07 09:41:00,9.85,9.85,9.85,9.85,0,525
2019-09-07 09:42:00,9.85,9.85,9.85,9.85,0,525
2019-09-07 09:43:00,9.85,9.85,9.85,9.85,0,525
2019-09-07 09:44:00,9.85,9.85,9.85,9.85,0,525
2019-09-07 09:45:00,9.85,9.85,9.75,9.75,150,600
2019-09-07 09:46:00,9.75,9.75,9.75,9.75,0,600
2019-09-07 09:47:00,9.75,9.75,9.75,9.75,0,600
2019-09-07 09:48:00,9.75,9.75,9.75,9.75,0,600
2019-09-07 09:49:00,9.75,9.75,9.75,9.75,0,600
2019-09-07 09:50:00,9.75,11.25,9.75,11.25,150,750
2019-09-07 09:51:00,11.25,11.25,11.25,11.25,0,750
2019-09-07 09:52:00,11.25,11.25,11.25,11.25,0,750
2019-09-07 09:53:00,11.25,11.25,11.25,11.25,0,750
2019-09-07 09:54:00,11.25,11.25,9.95,10.10,675,900
2019-09-07 09:55:00,10.10,11.00,10.00,11.00,525,900
2019-09-07 09:56:00,11.00,11.00,11.00,11.00,0,900
2019-09-07 09:57:00,11.00,11.55,11.00,11.55,225,1950
2019-09-07 09:58:00,11.55,11.90,11.55,11.90,225,1950
2019-09-07 09:59:00,11.90,11.90,11.05,11.05,150,1950
