date,open,high,low,close,volume,oi,vwap
2020-07-08 09:17:00,308.00,310.00,307.00,307.00,2325,0,308.69
2020-07-08 09:18:00,306.00,309.00,306.00,306.00,1725,0,308.19
2020-07-08 09:23:00,311.95,311.95,311.95,311.95,150,4050,308.32
2020-07-08 09:25:00,306.35,306.35,306.35,306.35,75,4050,308.29
2020-07-08 09:26:00,310.45,310.45,310.45,310.45,75,4200,308.33
2020-07-08 09:28:00,314.25,314.25,314.25,314.25,150,4200,308.52
2020-07-08 09:29:00,311.30,311.30,311.30,311.30,150,4200,308.61
2020-07-08 09:30:00,309.90,310.75,309.90,310.75,375,4200,308.76
2020-07-08 09:35:00,306.60,306.65,302.60,302.60,300,4650,308.58
2020-07-08 09:36:00,298.55,298.95,298.55,298.95,150,4650,308.31
2020-07-08 09:39:00,286.60,286.60,286.60,286.60,75,4500,308.02
2020-07-08 09:40:00,285.10,285.10,282.80,282.80,300,4500,306.75
2020-07-08 09:44:00,290.55,290.55,290.50,290.50,150,4500,306.35
2020-07-08 09:48:00,282.40,282.55,281.95,281.95,450,4500,304.68
2020-07-08 09:52:00,291.95,291.95,291.95,291.95,75,4875,304.53
2020-07-08 09:59:00,291.00,291.00,291.00,291.00,75,4950,304.38
2020-07-08 10:02:00,283.35,283.35,283.35,283.35,150,4950,303.91
2020-07-08 10:03:00,284.45,285.25,284.45,285.25,150,4875,303.50
2020-07-08 10:05:00,285.25,285.25,285.25,285.25,150,4950,303.11
2020-07-08 10:18:00,292.65,292.65,292.65,292.65,75,5025,303.00
2020-07-08 10:27:00,292.05,292.05,292.05,292.05,75,4950,302.88
2020-07-08 10:28:00,292.00,292.00,292.00,292.00,1050,4950,301.50
2020-07-08 10:35:00,287.30,287.30,287.30,287.30,150,5625,301.24
2020-07-08 10:36:00,286.00,286.00,286.00,286.00,150,5625,300.98
2020-07-08 10:37:00,286.00,286.00,286.00,286.00,900,5625,299.55
2020-07-08 10:51:00,296.80,296.80,296.80,296.80,75,5250,299.53
2020-07-08 10:58:00,302.50,302.50,302.50,302.50,75,5250,299.55
2020-07-08 10:59:00,303.25,303.25,303.25,303.25,75,5250,299.58
2020-07-08 11:05:00,289.25,289.45,289.15,289.15,375,5250,299.20
2020-07-08 11:06:00,287.75,292.00,287.75,292.00,900,5250,298.52
2020-07-08 11:07:00,291.85,291.85,291.85,291.85,75,5250,298.47
2020-07-08 11:16:00,284.10,284.10,283.55,283.55,675,6150,297.64
2020-07-08 11:17:00,282.00,282.00,282.00,282.00,75,5850,297.54
2020-07-08 11:19:00,282.35,282.35,282.35,282.35,75,5850,297.45
2020-07-08 11:32:00,285.65,285.65,285.65,285.65,150,5850,297.30
2020-07-08 11:36:00,282.20,282.20,282.20,282.20,75,5850,297.21
2020-07-08 11:39:00,283.60,283.60,283.60,283.60,75,5700,297.12
2020-07-08 11:59:00,275.85,275.85,275.85,275.85,75,5625,296.99
2020-07-08 12:00:00,257.55,257.55,257.55,257.55,75,5625,296.75
2020-07-08 12:01:00,263.65,263.65,263.60,263.60,150,5625,296.35
2020-07-08 12:02:00,258.00,258.00,258.00,258.00,75,5625,296.12
2020-07-08 12:08:00,263.30,263.30,263.30,263.30,75,5550,295.93
2020-07-08 12:26:00,293.95,293.95,288.35,288.35,525,5550,295.66
2020-07-08 12:31:00,288.35,288.35,288.35,288.35,75,5550,295.61
2020-07-08 12:44:00,288.35,288.35,288.35,288.35,75,5025,295.57
2020-07-08 13:15:00,274.60,278.45,274.60,278.45,300,5025,295.15
2020-07-08 13:17:00,277.70,277.70,277.70,277.70,75,5025,295.06
2020-07-08 13:25:00,281.40,281.40,281.40,281.40,150,4875,294.91
2020-07-08 13:31:00,269.40,269.40,269.40,269.40,75,4875,294.77
2020-07-08 14:06:00,270.05,270.05,270.05,270.05,75,4725,294.64
2020-07-08 14:07:00,274.60,274.60,274.60,274.60,225,4650,294.32
2020-07-08 14:27:00,254.70,254.70,251.25,251.25,450,4725,293.08
2020-07-08 14:30:00,250.95,250.95,250.95,250.95,75,4725,292.86
2020-07-08 14:36:00,264.85,264.85,264.85,264.85,150,4425,292.58
2020-07-08 14:38:00,260.80,260.80,260.80,260.80,75,4425,292.42
2020-07-08 14:40:00,259.40,259.40,259.40,259.40,75,4500,292.25
2020-07-08 14:47:00,256.30,256.30,256.30,256.30,75,4575,292.07
2020-07-08 14:50:00,249.80,249.80,249.80,249.80,75,4425,291.86
2020-07-08 14:52:00,250.00,250.00,250.00,250.00,75,4425,291.66
2020-07-08 14:54:00,252.00,252.00,252.00,252.00,75,4425,291.46
2020-07-08 14:58:00,257.00,257.00,257.00,257.00,150,4500,291.13
2020-07-08 15:00:00,255.90,255.90,255.90,255.90,225,4500,290.62
2020-07-08 15:01:00,256.95,257.00,256.95,257.00,225,4500,290.15
2020-07-08 15:03:00,257.55,257.55,257.55,257.55,75,4725,289.99
2020-07-08 15:04:00,256.00,256.00,254.55,254.55,150,4725,289.67
2020-07-08 15:06:00,253.85,253.85,253.85,253.85,150,4725,289.34
2020-07-08 15:09:00,251.90,251.90,251.90,251.90,75,4350,289.17
2020-07-08 15:15:00,254.50,254.50,254.50,254.50,75,4275,289.01
2020-07-08 15:27:00,253.90,253.90,253.90,253.90,75,4350,288.85
2020-07-08 15:28:00,254.00,254.90,254.00,254.90,150,4275,288.54
2020-07-08 15:29:01,269.00,269.00,269.00,269.00,375,4275,287.99
2020-10-08 09:15:00,223.90,223.90,220.00,220.50,450,4650,220.82
2020-10-08 09:16:00,212.00,217.00,212.00,217.00,525,4650,218.37
2020-10-08 09:17:00,215.60,215.60,213.05,213.05,225,4650,217.53
2020-10-08 09:18:00,210.60,210.60,210.00,210.00,675,4575,214.84
2020-10-08 09:19:00,208.65,208.65,208.65,208.65,150,4575,214.38
2020-10-08 09:20:00,201.85,201.85,201.85,201.85,150,5550,213.52
2020-10-08 09:22:00,201.50,201.50,201.50,201.50,1200,5550,209.54
2020-10-08 09:23:00,204.25,204.25,202.50,202.50,150,6525,209.28
2020-10-08 09:24:00,204.45,204.45,204.45,204.45,75,6525,209.18
2020-10-08 09:25:00,208.00,208.00,208.00,208.00,75,6525,209.15
2020-10-08 09:26:00,204.60,204.60,204.60,204.60,75,6525,209.06
2020-10-08 09:27:00,198.00,198.00,198.00,198.00,225,6525,208.44
2020-10-08 09:30:00,201.05,201.05,200.45,200.45,300,5850,207.90
2020-10-08 09:31:00,200.00,200.60,199.35,199.35,750,5850,206.65
2020-10-08 09:35:00,196.85,196.85,196.85,196.85,750,6000,205.38
2020-10-08 09:36:00,198.55,198.55,198.55,198.55,75,6000,205.29
2020-10-08 09:39:00,199.00,199.00,199.00,199.00,300,6300,204.99
2020-10-08 09:40:00,194.45,194.45,194.45,194.45,675,6300,203.98
2020-10-08 09:41:00,193.95,193.95,193.75,193.95,300,6450,203.55
2020-10-08 09:43:00,191.65,191.65,190.65,191.20,600,6450,202.57
2020-10-08 09:44:00,191.60,192.00,191.25,191.25,300,6900,202.17
2020-10-08 09:45:00,191.65,192.20,191.65,192.20,600,6900,201.47
2020-10-08 09:46:00,193.15,193.15,191.85,192.20,675,6900,200.80
2020-10-08 09:47:00,194.00,194.00,193.60,193.60,225,6825,200.63
2020-10-08 09:49:00,196.15,196.15,196.15,196.15,75,6825,200.60
2020-10-08 09:50:00,198.55,198.55,198.55,198.55,150,6825,200.56
2020-10-08 09:51:00,198.55,198.55,196.50,196.50,225,6825,200.50
2020-10-08 09:52:00,195.65,196.25,195.50,195.50,300,6825,200.36
2020-10-08 09:53:00,196.00,196.00,196.00,196.00,75,6825,200.33
2020-10-08 09:58:00,198.00,198.90,198.00,198.90,300,6900,200.27
2020-10-08 09:59:00,198.30,198.30,198.30,198.30,75,6900,200.26
2020-10-08 10:00:00,198.75,198.75,198.75,198.75,225,6900,200.23
2020-10-08 10:02:00,195.00,195.00,195.00,195.00,225,7125,200.12
2020-10-08 10:04:00,196.10,196.10,196.10,196.10,75,7125,200.09
2020-10-08 10:05:00,196.00,198.30,196.00,198.30,375,7200,199.99
2020-10-08 10:06:00,199.15,200.00,199.15,200.00,300,7200,199.97
2020-10-08 10:07:00,202.65,203.35,201.35,201.35,450,7200,200.07
2020-10-08 10:08:00,199.75,199.75,199.50,199.50,150,7500,200.07
2020-10-08 10:09:00,199.25,199.25,199.25,199.25,75,7500,200.06
2020-10-08 10:11:00,197.90,197.90,197.90,197.90,75,7500,200.05
2020-10-08 10:12:00,199.65,199.65,199.65,199.65,75,7350,200.05
2020-10-08 10:14:00,200.35,200.35,200.35,200.35,150,7350,200.05
2020-10-08 10:16:00,199.00,199.00,199.00,199.00,300,7350,200.03
2020-10-08 10:17:00,196.00,196.00,196.00,196.00,75,7575,200.00
2020-10-08 10:18:00,196.00,196.60,196.00,196.55,225,7575,199.94
2020-10-08 10:21:00,197.90,197.90,197.90,197.90,75,7725,199.93
2020-10-08 10:22:00,198.40,198.40,198.40,198.40,75,7725,199.92
2020-10-08 10:23:00,197.40,197.40,196.30,196.30,375,7725,199.85
2020-10-08 10:26:00,199.35,199.65,199.35,199.65,300,7725,199.84
2020-10-08 10:28:00,201.75,203.30,201.75,202.00,825,7725,200.01
2020-10-08 10:32:00,200.75,200.75,200.75,200.75,225,8175,200.02
