date,open,high,low,close,volume,oi,vwap
2020-07-20 14:04:00,11.20,11.20,11.20,11.20,150,0,11.20
2020-07-20 14:08:00,14.00,14.00,12.00,12.00,1575,150,11.86
2020-07-20 14:10:00,11.85,11.85,11.85,11.85,75,1500,11.86
2020-07-20 14:44:00,11.70,11.70,11.70,11.70,75,1575,11.86
2020-07-20 14:48:00,12.50,12.50,12.50,12.50,75,0,11.88
2020-07-20 14:51:00,12.50,12.50,12.50,12.50,75,1725,11.90
2020-07-20 14:52:00,12.40,12.40,12.40,12.40,75,1725,11.92
2020-07-20 15:03:00,12.15,12.15,12.15,12.15,300,1800,11.95
2020-07-20 15:05:00,12.05,12.05,12.05,12.05,150,1800,11.96
2020-07-20 15:12:00,12.05,12.05,12.05,12.05,75,0,11.96
2020-07-20 15:16:00,11.50,11.50,11.50,11.50,300,2325,11.91
2020-07-20 15:20:00,11.60,11.60,11.60,11.60,75,2625,11.90
2020-07-20 15:23:00,11.90,11.90,11.90,11.90,1125,2625,11.90
2020-07-20 15:25:00,11.90,11.90,11.90,11.90,150,3750,11.90
2020-07-21 09:20:00,15.00,15.00,15.00,15.00,75,3900,15.00
2020-07-21 09:24:00,15.00,15.00,15.00,15.00,375,3900,15.00
2020-07-21 09:27:00,14.90,14.90,14.90,14.90,150,4275,14.97
2020-07-21 09:30:00,13.90,13.90,13.90,13.90,1500,4425,14.54
2020-07-21 09:31:00,15.00,15.00,15.00,15.00,75,4425,14.55
2020-07-21 09:33:00,15.00,15.00,15.00,15.00,75,4350,14.57
2020-07-21 09:36:00,15.00,15.00,15.00,15.00,75,4425,14.58
2020-07-21 09:42:00,15.00,15.00,15.00,15.00,150,3375,14.61
2020-07-21 09:52:00,13.80,13.80,13.80,13.80,75,3525,14.58
2020-07-21 09:54:00,14.55,14.55,14.55,14.55,150,3600,14.58
2020-07-21 09:55:00,14.55,14.55,14.55,14.55,75,3600,14.58
2020-07-21 10:06:00,14.00,14.00,14.00,14.00,75,3750,14.56
2020-07-21 10:13:00,13.05,13.05,13.00,13.00,450,3825,14.36
2020-07-21 10:16:00,13.00,13.00,13.00,13.00,75,4200,14.33
2020-07-21 10:22:00,13.20,13.25,13.20,13.25,225,4275,14.26
2020-07-21 10:32:00,14.00,14.00,14.00,14.00,225,4275,14.24
2020-07-21 10:38:00,14.95,14.95,14.95,14.95,300,4350,14.28
2020-07-21 10:45:00,14.85,14.85,14.85,14.85,150,4650,14.30
2020-07-21 10:46:00,14.85,14.85,14.50,14.50,225,4650,14.32
2020-07-21 11:04:00,14.75,14.75,14.75,14.75,75,4875,14.33
2020-07-21 11:06:00,14.10,14.10,14.10,14.10,75,4950,14.32
2020-07-21 11:17:00,14.50,14.50,14.50,14.50,225,4875,14.33
2020-07-21 11:26:00,14.50,14.50,14.50,14.50,75,4650,14.33
2020-07-21 11:32:00,14.50,14.50,14.50,14.50,75,4650,14.33
2020-07-21 11:33:00,14.50,14.50,14.50,14.50,150,4650,14.34
2020-07-21 11:45:00,14.50,14.50,14.50,14.50,75,4650,14.34
2020-07-21 11:58:00,14.35,14.35,14.35,14.35,75,4575,14.34
2020-07-21 12:17:00,14.80,14.80,14.80,14.80,75,4650,14.35
2020-07-21 12:26:00,14.95,14.95,14.95,14.95,75,4725,14.36
2020-07-21 12:33:00,14.85,14.85,14.85,14.85,75,4800,14.36
2020-07-21 12:35:00,14.95,14.95,14.95,14.95,75,4800,14.37
2020-07-21 12:39:00,15.00,15.00,15.00,15.00,75,4950,14.38
2020-07-21 12:41:00,14.75,14.75,14.75,14.75,75,0,14.38
2020-07-21 12:43:00,14.90,14.90,14.90,14.90,75,5025,14.39
2020-07-21 12:48:00,14.55,14.55,14.55,14.55,75,5100,14.39
2020-07-21 12:49:00,14.50,14.50,14.50,14.50,75,5100,14.39
2020-07-21 13:05:00,15.75,15.75,15.75,15.75,150,5175,14.43
2020-07-21 13:09:00,15.00,15.00,15.00,15.00,225,5325,14.45
2020-07-21 13:11:00,14.50,14.50,14.50,14.50,150,5325,14.45
2020-07-21 13:12:00,14.90,15.05,14.90,15.05,450,5475,14.48
2020-07-21 13:18:00,14.75,14.75,14.75,14.75,75,5925,14.49
2020-07-21 13:40:00,14.50,14.50,14.50,14.50,150,5925,14.49
2020-07-21 13:45:00,14.50,14.50,14.50,14.50,150,5925,14.49
2020-07-21 13:47:00,14.30,14.30,14.30,14.30,750,5925,14.47
2020-07-21 14:17:00,14.50,14.50,14.50,14.50,150,6825,14.47
2020-07-21 14:22:00,15.65,15.65,15.65,15.65,75,6825,14.48
2020-07-21 14:31:00,17.40,17.40,17.40,17.40,1500,6825,14.69
2020-07-21 14:32:00,15.65,15.70,15.65,15.70,150,6825,14.71
2020-07-21 14:34:00,15.30,15.30,15.30,15.30,525,8250,14.73
2020-07-21 14:45:00,16.20,16.20,16.20,16.20,750,8775,14.83
2020-07-21 14:48:00,16.00,16.00,16.00,16.00,75,9525,14.84
2020-07-21 14:50:00,16.05,16.05,16.00,16.00,225,9525,14.86
2020-07-21 14:57:00,16.00,16.00,16.00,16.00,75,9750,14.87
2020-07-21 15:04:00,15.10,15.10,15.10,15.10,150,9825,14.87
2020-07-21 15:07:00,16.05,16.05,16.05,16.05,750,9675,14.94
2020-07-21 15:08:00,15.80,15.80,15.80,15.80,75,9675,14.95
2020-07-21 15:12:00,15.85,15.85,15.85,15.85,225,10425,14.96
2020-07-21 15:13:00,15.85,15.85,15.85,15.85,75,10425,14.97
2020-07-21 15:15:00,15.75,15.75,15.75,15.75,75,10500,14.97
2020-07-21 15:24:00,15.80,15.80,15.80,15.80,150,10575,14.98
2020-07-21 15:25:00,15.80,15.80,15.75,15.75,225,10575,15.00
2020-07-21 15:26:00,16.20,16.20,16.20,16.20,150,10575,15.01
2020-07-21 15:27:00,15.85,15.85,15.85,15.85,150,11025,15.02
2020-07-21 15:29:01,17.00,17.00,17.00,17.00,75,11025,15.03
2020-07-22 09:16:00,13.55,13.55,13.55,13.55,75,11100,13.55
2020-07-22 09:18:00,14.15,14.15,14.15,14.15,150,11175,13.95
2020-07-22 09:20:00,14.10,14.10,14.00,14.00,150,11325,13.99
2020-07-22 09:23:00,14.70,14.85,14.70,14.85,150,11400,14.21
2020-07-22 09:24:00,14.60,14.60,14.60,14.60,75,11400,14.26
2020-07-22 09:33:00,12.85,12.85,12.85,12.85,975,11550,13.38
2020-07-22 09:36:00,12.85,12.85,11.95,11.95,1200,11550,12.81
2020-07-22 09:41:00,13.20,13.20,13.20,13.20,150,11550,12.83
2020-07-22 09:42:00,13.20,13.20,13.20,13.20,3000,11550,13.01
2020-07-22 09:45:00,13.20,13.20,13.20,13.20,150,12825,13.02
2020-07-22 09:46:00,13.20,13.20,13.20,13.20,150,12825,13.02
2020-07-22 09:47:00,13.05,13.05,13.05,13.05,225,13125,13.03
2020-07-22 09:48:00,13.20,13.20,13.20,13.20,675,13125,13.04
2020-07-22 09:52:00,14.45,14.45,14.45,14.45,75,13050,13.06
2020-07-22 10:01:00,14.00,14.00,14.00,14.00,75,13800,13.07
2020-07-22 10:18:00,14.25,14.25,14.25,14.25,225,13125,13.10
2020-07-22 10:26:00,14.45,14.45,14.45,14.45,300,13350,13.15
2020-07-22 10:32:00,14.30,14.30,14.30,14.30,3000,13125,13.48
2020-07-22 10:35:00,14.85,14.85,14.85,14.85,150,16125,13.50
2020-07-22 10:37:00,14.45,14.45,14.45,14.45,225,15900,13.52
2020-07-22 10:45:00,14.95,15.00,14.95,14.95,225,13050,13.55
2020-07-22 10:54:00,15.00,15.00,14.95,14.95,225,12900,13.58
2020-07-22 10:56:00,15.15,15.15,15.15,15.15,225,13050,13.61
2020-07-22 11:06:00,14.95,15.00,14.95,15.00,150,13275,13.62
2020-07-22 11:17:00,14.95,15.15,14.95,15.15,225,13350,13.65
2020-07-22 11:26:00,15.15,15.15,15.15,15.15,75,13275,13.66
2020-07-22 11:46:00,15.05,15.05,15.05,15.05,75,13275,13.67
2020-07-22 11:47:00,15.05,15.05,15.00,15.00,150,13275,13.68
2020-07-22 12:16:00,15.15,15.15,15.15,15.15,75,13350,13.69
2020-07-22 12:31:00,15.65,15.65,15.65,15.65,150,13275,13.71
2020-07-22 12:44:00,15.50,15.50,15.50,15.50,375,13425,13.76
2020-07-22 13:02:00,15.90,15.90,15.90,15.90,150,13725,13.78
2020-07-22 13:11:00,15.00,15.00,15.00,15.00,75,13875,13.79
2020-07-22 13:22:00,14.95,14.95,14.95,14.95,75,0,13.80
2020-07-22 13:27:00,14.05,14.05,14.05,14.05,825,14025,13.81
2020-07-22 13:54:00,15.15,15.15,15.15,15.15,225,13425,13.83
2020-07-22 13:59:00,15.00,15.00,15.00,15.00,225,13575,13.85
2020-07-22 14:39:00,14.85,14.85,14.85,14.85,150,13575,13.86
2020-07-22 14:49:00,14.85,14.85,14.85,14.85,75,13725,13.87
2020-07-22 15:22:00,15.40,15.40,15.40,15.40,225,13650,13.89
2020-07-22 15:25:00,15.50,15.50,15.50,15.50,75,13875,13.90
2020-07-22 15:28:00,15.20,15.20,15.20,15.20,150,13875,13.91
2020-07-22 15:29:01,14.85,14.85,14.85,14.85,75,13875,13.91
2020-07-23 09:24:00,15.80,15.80,15.80,15.80,75,13575,15.80
2020-07-23 09:27:00,15.70,15.70,15.70,15.70,75,13650,15.75
2020-07-23 09:44:00,16.25,16.25,16.25,16.25,300,13725,15.99
2020-07-23 09:51:00,14.85,14.85,14.85,14.85,75,13950,15.82
2020-07-23 09:54:00,15.65,15.65,15.65,15.65,225,13875,15.77
2020-07-23 09:56:00,15.55,15.55,15.55,15.55,150,14100,15.73
2020-07-23 09:57:00,15.55,15.55,15.55,15.55,75,14100,15.72
2020-07-23 09:59:00,15.45,15.45,15.45,15.45,75,14325,15.70
2020-07-23 10:08:00,14.60,14.60,14.60,14.60,75,14400,15.63
2020-07-23 10:11:00,14.50,14.50,14.50,14.50,600,14400,15.24
2020-07-23 10:14:00,14.15,14.15,14.15,14.15,150,14625,15.15
2020-07-23 10:24:00,14.75,14.75,14.75,14.75,75,14475,15.13
2020-07-23 10:29:00,15.30,15.30,15.30,15.30,75,14475,15.14
2020-07-23 10:54:00,15.50,15.50,15.50,15.50,75,14550,15.15
2020-07-23 11:18:00,15.70,15.70,15.70,15.70,75,14550,15.17
2020-07-23 11:27:00,15.10,15.10,15.10,15.10,75,14625,15.17
2020-07-23 11:34:00,16.05,16.05,16.05,16.05,75,14550,15.20
2020-07-23 11:39:00,16.40,16.40,16.40,16.40,150,14625,15.27
2020-07-23 11:50:00,16.40,16.40,16.40,16.40,75,0,15.30
2020-07-23 11:53:00,16.40,16.40,16.40,16.40,225,14775,15.39
2020-07-23 11:55:00,16.50,16.50,16.50,16.50,75,14775,15.42
2020-07-23 12:06:00,16.25,16.25,16.25,16.25,825,14550,15.61
2020-07-23 12:44:00,16.30,16.30,16.30,16.30,75,13650,15.62
2020-07-23 12:48:00,16.70,16.70,16.70,16.70,75,13650,15.64
2020-07-23 13:00:00,16.55,16.55,16.55,16.55,150,13725,15.67
2020-07-23 13:07:00,16.30,16.30,16.30,16.30,75,13875,15.69
2020-07-23 13:17:00,16.20,16.25,16.20,16.25,525,13950,15.75
2020-07-23 13:21:00,16.85,16.85,16.85,16.85,75,13725,15.77
2020-07-23 13:30:00,16.70,16.70,16.70,16.70,75,13725,15.78
2020-07-23 13:47:00,16.70,16.70,16.70,16.70,75,13725,15.80
2020-07-23 13:48:00,16.25,16.25,16.25,16.25,375,13725,15.83
2020-07-23 13:54:00,17.40,17.40,17.40,17.40,300,13725,15.91
2020-07-23 13:55:00,18.45,18.45,18.45,18.45,150,13725,15.98
2020-07-23 13:57:00,18.55,18.55,18.55,18.55,300,13725,16.11
2020-07-23 13:58:00,18.85,18.85,18.85,18.85,300,13725,16.24
