0,1,2,3,4,5,6,7
25.09.20 09:27:59,6.05,6.05,6.05,6.05,75,0,6.05
25.09.20 09:31:59,6.50,6.50,6.50,6.50,75,75,6.27
25.09.20 09:37:59,6.50,6.50,6.50,6.50,75,150,6.35
25.09.20 09:59:59,12.95,12.95,12.95,12.95,75,225,8.00
25.09.20 10:06:59,3.60,3.60,3.60,3.60,75,300,7.12
25.09.20 10:33:59,13.00,13.00,13.00,13.00,375,225,9.76
25.09.20 10:50:59,8.00,8.00,8.00,8.00,75,600,9.60
25.09.20 11:07:59,5.00,5.00,5.00,5.00,75,675,9.21
25.09.20 11:27:59,5.00,5.00,5.00,5.00,225,600,8.37
25.09.20 13:20:59,4.85,4.85,4.85,4.85,150,675,7.95
25.09.20 14:10:59,4.30,4.30,4.30,4.30,300,750,7.26
25.09.20 14:15:59,4.10,4.10,4.10,4.10,300,1050,6.75
25.09.20 14:23:59,4.50,4.50,4.50,4.50,75,1350,6.66
25.09.20 14:42:59,2.70,2.70,2.70,2.70,300,1425,6.18
28.09.20 09:58:59,2.90,2.90,2.90,2.90,75,1350,2.90
28.09.20 10:38:59,2.50,2.50,2.50,2.50,600,1350,2.54
28.09.20 11:21:59,2.05,2.05,2.05,2.05,300,750,2.39
28.09.20 15:28:59,2.50,2.70,2.50,2.70,300,1050,2.44
29.09.20 09:18:59,2.90,2.90,2.90,2.90,150,750,2.90
29.09.20 09:58:59,2.90,2.90,2.90,2.90,75,750,2.90
29.09.20 13:54:59,2.85,2.85,2.85,2.85,75,825,2.88
01.10.20 13:42:59,0.80,0.80,0.80,0.80,375,900,0.80
01.10.20 14:09:59,0.70,0.70,0.70,0.70,75,900,0.78
01.10.20 14:11:59,0.70,0.70,0.70,0.70,75,975,0.77
01.10.20 15:09:59,1.45,1.45,1.45,1.45,2325,1050,1.32
01.10.20 15:10:59,1.20,1.20,1.20,1.20,450,3375,1.30
01.10.20 15:11:59,1.20,1.20,1.20,1.20,450,3375,1.29
01.10.20 15:12:59,1.35,1.35,1.20,1.20,1875,5025,1.30
01.10.20 15:13:59,1.35,1.35,1.35,1.35,450,5025,1.30
01.10.20 15:15:59,1.05,1.05,1.05,1.05,75,5025,1.30
01.10.20 15:16:59,1.00,1.00,1.00,1.00,150,5775,1.29
01.10.20 15:17:59,1.00,1.00,1.00,1.00,1950,5775,1.22
01.10.20 15:18:59,1.00,1.00,1.00,1.00,75,5625,1.22
01.10.20 15:19:59,1.00,1.00,1.00,1.00,150,5625,1.22
01.10.20 15:20:59,1.00,1.00,1.00,1.00,1125,5625,1.19
01.10.20 15:21:59,1.00,1.05,1.00,1.05,450,6225,1.18
01.10.20 15:23:59,1.10,1.10,1.10,1.10,75,6225,1.18
01.10.20 15:24:59,1.00,1.00,1.00,1.00,450,6225,1.17
01.10.20 15:25:59,1.10,1.10,1.10,1.10,675,6225,1.17
01.10.20 15:26:59,1.15,1.15,1.15,1.15,150,6225,1.17
01.10.20 15:27:59,1.20,1.20,1.20,1.20,1800,7725,1.17
01.10.20 15:28:59,1.20,1.25,1.20,1.25,525,7725,1.17
05.10.20 09:15:59,1.20,1.20,0.85,0.85,825,8550,0.88
