date,open,high,low,close,volume,oi,vwap,8,9
2020-10-11 14:48:00,362.30,362.30,362.30,362.30,75,0,362.30,,
2020-12-11 09:15:00,362.30,362.30,362.30,362.30,75,75,362.30,,
2020-12-11 14:17:00,338.15,338.15,338.15,338.15,150,150,346.20,,
2020-11-17 10:33:00,320.25,320.25,320.25,320.25,75,300,320.25,,
2020-11-17 12:02:00,200.00,200.00,200.00,200.00,75,375,260.12,,
2020-11-18 15:29:01,172.90,172.90,172.90,172.90,75,375,172.90,,
2020-11-19 14:25:00,171.85,171.85,171.85,171.85,75,450,171.85,,
2020-11-19 14:26:00,171.85,171.85,171.85,171.85,75,450,171.85,,
2020-11-25 10:04:00,114.00,114.00,114.00,114.00,150,450,114.00,,
2020-11-25 10:27:00,158.05,158.05,158.05,158.05,300,600,137.35,,
2020-11-25 10:36:00,113.00,113.00,113.00,113.00,150,900,131.26,,
2020-11-25 11:23:00,116.50,116.50,116.50,116.50,150,900,128.31,,
2020-11-25 11:32:00,122.85,122.85,122.85,122.85,75,750,127.81,,
2020-11-25 11:37:00,121.30,121.30,121.30,121.30,75,825,127.27,,
2020-11-25 12:44:00,114.00,114.00,114.00,114.00,150,900,125.37,,
2020-11-25 13:43:00,118.75,118.75,118.75,118.75,150,900,124.54,,
2020-11-25 14:52:00,138.30,138.30,138.30,138.30,75,900,125.35,,
2020-11-25 15:24:00,147.55,147.55,147.55,147.55,75,825,126.58,,
2020-11-26 10:18:00,148.00,148.00,147.55,147.55,150,750,147.77,139.65,146.60
2020-11-27 13:14:00,106.40,106.40,106.40,106.40,75,900,106.40,106.90,113.70
2020-01-12 09:34:00,106.40,106.40,106.40,106.40,75,900,106.40,99.75,105.95
2020-01-12 10:25:00,100.50,100.50,100.50,100.50,75,975,103.45,94.60,100.55
2020-01-12 10:27:00,99.55,99.55,99.55,99.55,75,1050,102.15,93.65,99.55
2020-01-12 11:13:00,91.35,91.35,91.35,91.35,75,1125,99.45,86.40,91.25
2020-01-12 11:48:00,89.00,89.00,89.00,89.00,75,1200,97.36,88.05,93.20
2020-01-12 13:17:00,89.45,89.45,89.45,89.45,75,1125,96.04,84.10,88.45
2020-01-12 13:59:00,85.00,85.00,85.00,85.00,75,1200,94.46,85.00,88.95
2020-01-12 14:02:00,88.45,88.45,88.45,88.45,75,1200,93.71,83.00,88.30
2020-01-12 14:12:00,84.50,84.50,84.50,84.50,75,1275,92.68,80.00,84.95
2020-01-12 15:07:00,80.00,80.00,80.00,80.00,75,1350,91.42,76.00,80.75
2020-01-12 15:09:00,79.40,79.40,79.40,79.40,75,1350,90.32,75.05,79.35
2020-01-12 15:27:00,81.75,81.75,81.75,81.75,75,1500,89.61,80.55,82.15
2020-02-12 09:28:00,79.00,79.00,79.00,79.00,225,1575,79.00,77.25,83.20
2020-02-12 10:20:00,79.15,79.15,79.15,79.15,75,1350,79.03,78.65,83.75
2020-02-12 10:59:00,74.20,74.20,74.20,74.20,75,1350,78.07,74.00,79.15
2020-02-12 11:11:00,75.15,75.15,75.15,75.15,75,1275,77.58,74.70,79.85
2020-02-12 12:26:00,79.00,79.00,79.00,79.00,75,1200,77.78,74.15,80.10
2020-02-12 12:57:00,81.90,81.90,81.90,81.90,75,1200,78.30,78.85,85.00
2020-02-12 13:30:00,85.00,85.00,85.00,85.00,75,1200,79.04,82.60,89.40
2020-02-12 13:49:00,86.95,86.95,86.95,86.95,225,1275,80.92,82.20,87.55
2020-02-12 13:57:00,88.40,88.40,88.40,88.40,75,1425,81.49,85.85,91.10
