0,1,2,3,4,5,6,7,8,9
27.01.21 09:27:59,186.70,186.70,186.70,186.70,375,0,186.70,185.05,223.15
27.01.21 14:21:59,290.00,290.00,290.00,290.00,75,375,203.91,263.65,294.00
28.01.21 10:20:59,321.70,324.45,321.70,324.45,150,0,323.07,303.45,320.50
28.01.21 10:24:59,314.40,314.40,314.40,314.40,150,525,318.73,314.80,328.10
28.01.21 11:09:59,319.60,319.60,319.60,319.60,75,525,318.91,307.25,326.75
28.01.21 11:10:59,320.05,320.05,320.05,320.05,75,525,319.10,310.15,328.80
28.01.21 11:23:59,315.80,315.80,315.80,315.80,75,375,318.62,316.90,331.25
28.01.21 11:31:59,333.00,333.00,333.00,333.00,75,450,320.42,325.05,340.15
28.01.21 12:43:59,370.00,370.00,366.30,366.30,225,375,333.36,360.65,379.45
28.01.21 12:44:59,368.40,368.40,367.95,367.95,150,375,338.72,367.25,379.50
28.01.21 13:06:59,404.25,404.25,404.25,404.25,150,750,347.37,395.25,403.65
29.01.21 09:18:59,292.50,292.50,292.50,292.50,75,600,292.50,287.15,301.10
29.01.21 09:20:59,295.00,295.00,286.95,286.95,375,600,293.24,278.50,290.05
29.01.21 09:26:59,310.65,310.65,310.65,310.65,75,975,295.72,301.20,306.60
29.01.21 09:27:59,310.00,310.00,310.00,310.00,75,975,297.51,303.25,310.00
29.01.21 09:28:59,310.00,310.00,310.00,310.00,225,975,300.91,304.50,313.55
29.01.21 09:32:59,318.75,322.90,318.75,318.75,150,900,303.98,315.30,327.35
29.01.21 09:37:59,332.85,332.85,332.85,332.85,75,825,306.04,329.70,334.15
29.01.21 09:47:59,336.55,336.55,336.55,336.55,75,825,308.07,335.55,342.75
29.01.21 09:49:59,344.95,344.95,344.95,344.95,75,825,310.38,335.70,341.30
29.01.21 10:39:59,359.65,359.65,359.65,359.65,75,825,313.27,358.00,364.85
29.01.21 10:41:59,362.00,362.00,362.00,362.00,75,825,315.98,360.35,365.70
29.01.21 10:49:59,362.50,362.50,362.50,362.50,75,750,318.43,356.45,361.85
29.01.21 10:53:59,347.40,347.40,347.40,347.40,75,750,319.88,350.30,356.85
29.01.21 12:05:59,380.45,380.45,380.45,380.45,75,675,322.76,379.50,384.30
29.01.21 12:15:59,380.45,380.45,380.45,380.45,75,675,325.38,378.35,383.70
29.01.21 14:58:59,367.30,367.30,367.30,367.30,75,675,327.21,365.10,370.65
29.01.21 15:00:59,366.75,380.45,366.75,380.45,300,675,334.20,381.40,388.65
29.01.21 15:01:59,407.10,407.10,407.10,407.10,150,675,339.23,401.15,404.35
29.01.21 15:03:59,431.00,431.00,431.00,431.00,75,675,342.29,436.40,443.55
29.01.21 15:06:59,438.60,438.60,438.60,438.60,75,675,345.40,430.05,434.05
29.01.21 15:07:59,430.25,430.25,428.25,428.25,375,675,357.03,427.05,433.40
29.01.21 15:08:59,419.00,419.00,419.00,419.00,75,675,358.70,430.40,436.05
29.01.21 15:10:59,446.85,446.85,446.85,446.85,75,900,361.02,444.05,449.85
29.01.21 15:25:59,422.75,422.75,422.75,422.75,75,975,362.60,416.05,427.70
01.02.21 09:20:59,404.40,404.40,404.40,404.40,225,900,404.40,392.60,418.50
01.02.21 09:30:59,388.15,389.80,388.15,389.80,150,825,398.23,383.30,400.15
01.02.21 10:27:59,365.40,365.40,365.40,365.40,75,675,392.75,355.90,380.40
01.02.21 11:29:59,301.50,301.50,301.50,301.50,75,675,379.72,296.90,313.40
01.02.21 11:43:59,321.75,321.75,321.75,321.75,75,675,372.47,307.90,320.95
01.02.21 11:49:59,304.00,304.00,304.00,304.00,525,675,340.51,279.95,292.70
01.02.21 11:56:59,301.75,301.75,301.75,301.75,75,1125,338.09,289.60,303.50
01.02.21 11:58:59,303.50,303.50,303.50,303.50,75,1200,336.05,300.05,304.25
01.02.21 12:00:59,300.10,300.10,300.10,300.10,75,1200,334.05,293.05,304.25
01.02.21 12:14:59,320.00,320.00,320.00,320.00,150,1275,332.65,324.95,348.55
01.02.21 12:38:59,314.85,314.85,314.85,314.85,75,1275,331.80,299.70,327.15
01.02.21 12:40:59,333.60,333.60,333.60,333.60,150,1350,331.80,308.80,333.15
01.02.21 12:46:59,320.30,320.30,320.30,320.30,75,1350,331.32,308.80,324.65
01.02.21 12:50:59,282.00,282.00,282.00,282.00,75,1350,329.35,265.05,283.40
01.02.21 12:51:59,265.00,265.00,265.00,265.00,75,1350,326.88,241.45,262.45
01.02.21 12:57:59,214.05,215.85,214.05,215.85,150,1500,318.88,199.95,214.50
01.02.21 13:06:59,203.55,203.55,203.55,203.55,75,1575,314.90,199.05,205.25
01.02.21 13:09:59,208.00,208.00,208.00,208.00,75,1575,311.34,203.60,219.00
01.02.21 13:11:59,219.00,219.00,219.00,219.00,75,1575,308.36,204.15,233.35
01.02.21 13:13:59,218.35,218.35,218.35,218.35,75,1650,305.55,199.05,228.75
01.02.21 13:15:59,218.35,218.35,218.35,218.35,75,1575,302.91,199.05,224.35
01.02.21 13:17:59,199.00,199.00,199.00,199.00,150,1575,296.97,138.80,210.80
