0,1,2,3,4,5,6,7,8,9
28.12.20 14:39:59,240.35,240.35,240.35,240.35,75,0,240.35,237.50,268.65
28.12.20 14:41:59,238.60,238.60,238.60,238.60,150,0,239.18,237.30,264.90
28.12.20 14:45:59,252.50,252.50,252.50,252.50,75,225,242.51,241.55,252.50
28.12.20 14:56:59,255.05,255.05,255.05,255.05,75,225,245.02,238.65,269.10
28.12.20 15:25:59,242.95,242.95,242.95,242.95,75,225,244.67,243.10,253.90
28.12.20 15:30:00,248.00,248.00,248.00,248.00,75,300,245.15,242.40,260.80
29.12.20 09:25:59,263.35,263.35,263.35,263.35,75,300,263.35,254.05,286.55
29.12.20 09:27:59,287.85,287.85,287.85,287.85,75,300,275.60,259.75,287.50
29.12.20 10:19:59,263.50,263.50,263.50,263.50,150,300,269.61,251.60,285.25
29.12.20 10:46:59,263.00,263.00,263.00,263.00,75,375,268.29,234.55,271.75
29.12.20 12:51:59,274.00,274.00,274.00,274.00,75,375,269.24,252.55,282.65
29.12.20 14:59:59,271.40,271.40,271.40,271.40,75,450,269.55,266.10,284.75
30.12.20 10:33:59,289.10,289.10,289.10,289.10,75,450,289.10,250.95,288.20
30.12.20 10:51:59,289.10,289.10,289.10,289.10,75,450,289.10,275.85,288.05
30.12.20 11:14:59,292.50,292.50,292.50,292.50,75,0,290.23,281.60,293.35
30.12.20 11:45:59,292.50,292.50,292.50,292.50,75,525,290.80,218.35,290.90
30.12.20 11:47:59,290.00,290.00,290.00,290.00,75,525,290.64,287.60,293.40
30.12.20 11:56:59,287.60,287.60,287.60,287.60,75,600,290.13,260.05,294.00
30.12.20 12:12:59,280.05,280.05,280.05,280.05,75,675,288.69,280.00,292.15
30.12.20 12:16:59,280.00,280.00,280.00,280.00,75,600,287.60,274.80,293.45
30.12.20 14:44:59,300.00,300.00,300.00,300.00,75,675,288.98,287.15,302.90
30.12.20 14:54:59,298.00,298.00,298.00,298.00,75,0,289.88,288.65,297.00
30.12.20 14:55:59,297.00,297.00,297.00,297.00,75,825,290.53,289.20,304.45
31.12.20 09:20:59,310.00,310.00,310.00,310.00,75,825,310.00,290.20,319.45
31.12.20 09:28:59,310.00,310.00,310.00,310.00,75,900,310.00,290.85,313.35
31.12.20 09:37:59,308.90,308.90,308.90,308.90,75,975,309.63,279.00,310.80
31.12.20 09:50:59,310.00,310.00,310.00,310.00,75,975,309.72,305.00,318.35
31.12.20 10:03:59,305.00,305.00,305.00,305.00,150,1050,308.15,305.10,313.50
31.12.20 10:41:59,315.00,315.00,315.00,315.00,75,1050,309.12,310.10,329.65
31.12.20 10:54:59,305.00,305.00,305.00,305.00,75,1050,308.61,209.05,312.90
31.12.20 11:10:59,298.65,298.65,298.65,298.65,75,1125,307.50,298.40,314.90
31.12.20 11:47:59,314.95,314.95,314.95,314.95,150,1200,308.27,299.55,314.95
31.12.20 13:36:59,310.00,310.00,310.00,310.00,75,1275,308.42,298.70,315.20
31.12.20 14:15:59,298.65,298.65,298.65,298.65,75,1275,307.66,273.00,306.80
31.12.20 14:26:59,295.00,295.00,295.00,295.00,150,1350,305.98,278.75,307.60
31.12.20 14:55:59,304.75,304.75,304.75,304.75,75,1500,305.90,271.20,304.90
31.12.20 14:58:59,306.00,306.00,306.00,306.00,150,1500,305.91,285.05,309.50
31.12.20 14:59:59,308.00,308.00,307.85,307.85,150,1500,306.11,285.05,309.50
31.12.20 15:00:59,308.00,309.50,307.50,309.50,750,1500,306.76,285.05,310.00
31.12.20 15:01:59,310.00,310.00,310.00,310.00,150,2250,306.96,300.05,324.50
31.12.20 15:08:59,324.50,324.50,324.50,324.50,75,2250,307.49,308.80,324.50
31.12.20 15:11:59,304.10,304.10,304.10,304.10,75,2250,307.39,304.20,321.50
31.12.20 15:12:59,324.50,324.50,324.50,324.50,600,2250,310.35,305.00,325.00
31.12.20 15:17:59,317.10,317.10,317.10,317.10,150,2850,310.66,305.00,323.85
31.12.20 15:27:59,316.60,316.60,316.60,316.60,150,2850,310.91,306.75,316.60
01.01.21 09:15:59,314.80,314.80,314.80,314.80,75,3000,314.80,,
01.01.21 09:18:59,324.40,324.40,324.40,324.40,150,2925,321.18,,
01.01.21 09:20:59,320.00,320.00,320.00,320.00,225,2925,320.59,,
01.01.21 09:23:59,322.60,322.60,322.60,322.60,150,2925,321.05,,
01.01.21 09:32:59,323.95,323.95,323.95,323.95,75,3075,321.37,,
01.01.21 09:35:59,314.00,314.00,312.00,312.00,300,2925,318.80,,
01.01.21 09:36:59,311.90,311.90,309.80,309.80,150,2925,317.74,,
01.01.21 09:38:59,322.95,322.95,322.95,322.95,150,2700,318.35,,
01.01.21 09:39:59,309.45,309.45,309.45,309.45,75,2700,317.86,,
01.01.21 09:46:59,312.05,312.05,312.05,312.05,75,2850,317.55,,
01.01.21 10:02:59,314.70,314.70,314.70,314.70,75,2850,317.41,,
01.01.21 10:30:59,309.00,309.00,309.00,309.00,150,2850,316.65,,
01.01.21 10:54:59,318.65,318.65,318.65,318.65,75,2775,316.73,,
01.01.21 11:11:59,307.40,307.40,307.40,307.40,75,2775,316.35,,
01.01.21 11:27:59,310.35,310.35,310.35,310.35,75,2775,316.11,,
01.01.21 11:40:59,313.00,313.00,313.00,313.00,150,2775,315.87,,
01.01.21 12:36:59,306.00,306.00,306.00,306.00,900,2925,312.85,,
01.01.21 12:40:59,306.00,306.00,306.00,306.00,900,3450,311.23,,
01.01.21 12:54:59,306.00,306.00,306.00,306.00,150,4350,311.04,,
01.01.21 13:03:59,302.75,302.75,302.75,302.75,75,4275,310.88,,
01.01.21 13:10:59,303.15,303.15,303.15,303.15,750,4350,309.67,,
01.01.21 13:31:59,305.00,305.00,305.00,305.00,75,4050,309.60,,
01.01.21 13:39:59,302.70,302.75,300.25,300.30,300,4125,309.13,,
01.01.21 13:41:59,297.25,297.25,296.60,296.60,225,4125,308.62,,
01.01.21 13:42:59,296.85,296.85,296.85,296.85,75,4125,308.46,,
01.01.21 14:03:59,301.00,301.00,301.00,301.00,75,3975,308.36,,
01.01.21 14:09:59,304.05,304.05,304.00,304.00,150,3900,308.24,,
01.01.21 14:10:59,305.80,306.50,305.80,306.50,150,3900,308.19,,
01.01.21 14:12:59,305.95,305.95,305.95,305.95,150,4200,308.13,,
01.01.21 14:13:59,305.95,305.95,305.95,305.95,75,4200,308.11,,
01.01.21 14:16:59,306.45,306.70,306.45,306.70,225,4425,308.05,,
01.01.21 14:17:59,307.00,307.05,307.00,307.05,225,4425,308.01,,
